18:23:14.964 INFO  MainThread | App init
18:23:15.110 INFO  worker | Worker started SIMS=120
18:23:15.111 INFO  MainThread | App ready
18:23:15.111 DEBUG worker | Game 1 start
18:23:15.205 DEBUG MainThread | Board reset
18:23:15.953 DEBUG worker | G1 M10 (0, -2) sps=1566 cands=17
18:23:16.643 DEBUG worker | G1 M20 (-1, 1) sps=1926 cands=25
18:23:17.159 DEBUG worker | G1 M30 (-3, -2) sps=3002 cands=33
18:23:17.592 DEBUG worker | G1 M40 (5, 1) sps=2689 cands=44
18:23:18.078 DEBUG worker | G1 M50 (-5, 3) sps=2439 cands=49
18:23:18.611 DEBUG worker | G1 M60 (-2, -3) sps=2310 cands=58
18:23:19.152 DEBUG worker | G1 M70 (-4, 0) sps=2087 cands=65
18:23:19.652 DEBUG worker | G1 M80 (8, 0) sps=2953 cands=72
18:23:20.059 DEBUG worker | G1 M90 (-5, 1) sps=2677 cands=79
18:23:20.523 DEBUG worker | G1 M100 (-8, 3) sps=2656 cands=90
18:23:21.046 DEBUG worker | G1 M110 (7, -6) sps=2596 cands=95
18:23:21.572 DEBUG worker | G1 M120 (10, -8) sps=1999 cands=110
18:23:22.159 DEBUG worker | G1 M130 (-7, 6) sps=1877 cands=123
18:23:22.782 DEBUG worker | G1 M140 (-11, 2) sps=1726 cands=136
18:23:23.458 DEBUG worker | G1 M150 (12, -3) sps=1922 cands=155
18:23:24.130 DEBUG worker | G1 M160 (12, -12) sps=1874 cands=164
18:23:24.767 DEBUG worker | G1 M170 (-4, -9) sps=1685 cands=180
18:23:25.466 DEBUG worker | G1 M180 (-5, -4) sps=1495 cands=191
18:23:25.903 INFO  worker | G1 over winner=2 moves=186 dur=10.8s
18:23:25.904 DEBUG worker | Game 2 start
18:23:26.693 DEBUG worker | G2 M10 (-2, -1) sps=1562 cands=19
18:23:27.487 DEBUG worker | G2 M20 (-1, -4) sps=1655 cands=28
18:23:28.099 DEBUG MainThread | UI handled game_over G1
18:23:28.100 DEBUG MainThread | Board reset
18:23:31.267 DEBUG worker | G2 M30 (1, -5) sps=2556 cands=35
18:23:31.637 DEBUG worker | G2 M40 (-3, 3) sps=3029 cands=45
18:23:32.019 DEBUG worker | G2 M50 (-1, 5) sps=3176 cands=54
18:23:32.417 DEBUG worker | G2 M60 (0, -4) sps=2969 cands=56
18:23:32.788 DEBUG worker | G2 M70 (-6, 4) sps=3283 cands=62
18:23:33.135 DEBUG worker | G2 M80 (-1, 7) sps=3634 cands=75
18:23:33.513 DEBUG worker | G2 M90 (-9, 4) sps=2519 cands=81
18:23:33.943 DEBUG worker | G2 M100 (-6, 5) sps=2925 cands=97
18:23:34.424 DEBUG worker | G2 M110 (-6, 12) sps=2455 cands=112
18:23:35.050 DEBUG worker | G2 M120 (-10, 1) sps=2032 cands=123
18:23:35.657 DEBUG worker | G2 M130 (-8, -2) sps=1712 cands=133
18:23:36.305 DEBUG worker | G2 M140 (11, -14) sps=1846 cands=147
18:23:37.032 DEBUG worker | G2 M150 (3, 0) sps=1516 cands=160
18:23:37.781 DEBUG worker | G2 M160 (7, -2) sps=1558 cands=168
18:23:38.543 DEBUG worker | G2 M170 (7, 5) sps=1642 cands=183
18:23:39.379 DEBUG worker | G2 M180 (-5, -4) sps=1505 cands=200
18:23:40.280 DEBUG worker | G2 M190 (-11, -5) sps=1058 cands=215
18:23:41.173 DEBUG worker | G2 M200 (12, -17) sps=1278 cands=218
18:23:51.631 INFO  MainThread | Closing
18:23:51.663 INFO  MainThread | Clean exit
